Product,Year,Aldi.Price,Aldi.Weight,Aldi.Price/Weight,Aldi.Natural,Aldi.Comment,Kroger.Price,Kroger.Weight,Kroger.Price/Weight,Kroger.Natural,Kroger.Comment,Publix.Price,Publix.Weight,Publix.Price/Weight,Publix.Natural,Publix.Comment,Walmart.Price,Walmart.Weight,Walmart.Price/Weight,Walmart.Comment
"Salsa, medium hot",2010,$1.69,24 oz,,,Casa Mamita,$2.49,26 oz,,,Kroger,$1.99,16 oz,,Y,"Publix, all natural",,,,
Salt,2010,$0.33,26 oz,,,"Stonemill, iodized",$0.39,26 oz,,,"Kroger, iodized",$0.57,26 oz,,,"Morton, iodized",,,,
"Soda, bottle",2010,$0.59,2 L,,,Citrus Twist or GT Cola (Summit),$0.69,2L,,,"Big K, assorted flavors",$0.79,2 L,,,Publix,,,,
"Soda, bottle (Coke product)",2010,,,,,,$1.67,2L,,,Coca Cola,$1.79,2 L,,,Coca Cola,,,,
"Soda, can",2010,$1.19,12 pack,,,"Summit, GT Cola, Mountain Frost and other flavors",$2.19,12 pack,,,"Big K, assorted flavors, 4.25 L",,,,,"Publix, 12 pack, best price seen: 2 for $5",,,,
"Soda, can (Coke product)",2010,,,,,,$4.00,12 pack,,,"Coca Cola, 4.26 L",$4.69,4.26 L,,,"Coca Cola, 12 pack, best price seen: 3 for $12",,,,
"Soup, organic",2010,,,,,,$2.99,14.5 oz,,org,"Amy's Organic Soups, assorted flavors",$2.19,19 oz,,org.,Muir Glen,,,,
Sour Cream,2010,$0.99,16 oz,,,"Friendly Farms, regular or light",$1.05,16 oz,,Y,"Kroger, original, reduced fat, fat free and all natural",$2.25,24 oz,,,"Publix, regular, low fat or fat free",,,,
Spaghetti Sauce,2010,$1.19,26 oz,,Y,"Mama Cozzi, traditional, meat or mushroom",$1.15,26 oz,,,"Kroger, assorted flavors",$1.79,26 oz,,,"Publix, assorted flavors",,,,
"Spaghetti Sauce, organic",2010,,,,,,$3.39,26 oz,,,"Ragú, traditional",$3.24,26 oz,,org.,"Ragú, traditional",,,,
Sugar,2010,$2.49,5 lbs,,,Baker's Corner,$1.89,4 lbs,,,Kroger Value,$3.19,5 lbs,,,Publix,,,,
"Sugar, brown",2010,$1.29,32 oz,,,Baker's Corner,$1.59,32 oz,,,Kroger,$0.99,16 oz,,,Publix,,,,
"Sugar, powdered",2010,$1.29,32 oz,,,Baker's Corner,$1.59,32 oz,,,Kroger,$0.99,16 oz,,,Publix,,,,
"Syrup, breakfast",2010,$1.49,24 fl oz,,,"Berry Hill, regular or lite",$1.59,24 fl oz,,,Kroger Value,$2.39,24 fl oz,,,"Publix, pancake and butter maple, also lite",,,,
"Tea, green, bags",2010,$1.19,1.5 oz,,,"Benner, 24 Bags",$2.59,3.75 oz,,Y,"Kroger, 48 bags",$3.79,2.12 oz,,Y,"Salada, 40 bags",,,,
Tomato Paste,2010,$0.39,6 oz,,,Happy Harvest,$0.55,6 oz,,,Kroger,$0.59,6 oz,,,Publix,,,,
Tomato Sauce,2010,$0.25,8 oz,,,Happy Harvest,$0.45,8 oz,,,Kroger,$0.65,15 oz,4.33,,Publix,,,,
"Tomato Soup, condensed",2010,$0.49,10.75 oz,,,Chef's Cupboard,$0.59,10.75 oz,,,Kroger,$0.59,10.75,,,Publix,,,,
"Tomato Soup, regular",2010,,,,,,$1.96,19 oz,,,"Progresso, tomato basil",$2.29,19 oz,,,"Progresso, tomato basil",,,,
Tomatoes,2010,$1.29,20 oz,,,"Roma, various growers",$1.05,per lb,,,"various growers, Roma",$1.69,per lb,,,"Various growers, premium or plum tomatos",,,,
"Tuna, chunky, in water",2010,$0.52,5 oz,,,Northern Catch,$0.75,5 oz,,,"Kroger, chunky light",$0.73,5 oz,,,Chicken of the Sea,,,,
"Tuna, solid, in water",2010,$1.09,5 oz,,,Northern Catch,$1.39,5 oz,,,Kroger,$1.00,5 oz,,,Chicken of the Sea,,,,
"Vanilla Extract, pure (not imitation)",2010,$1.99,2 fl oz,,Y,Spice Club,$6.99,4 fl oz,,,Kroger,$6.99,2 fl oz,,,Spice Islands,,,,
"Veggies, frozen",2010,$1.49,16 oz,,,"Happy Harvest, green beans",$1.39,16 oz,,,"Kroger, peas & carrots, green beans, corn, crinkle cur carrots; best price seen: 1.00",$1.49,16 oz,,,"Publix, peas & carrots and other varieties",,,,
